id,x,y,class,distance,vx,vy
1,5145.78919,228.54594595,7,374.64666802340065,5404,500
2,5189.62712,229.0762712,0,345.4785065765891,5404,500
3,5148.766665,262.8074074,0,348.4313150099051,5404,500
4,4997.196629,283.2724719,7,460.93362222048836,5404,500
5,4915.5729165,298.79166665,0,464.665063925405,4859,760
6,5035.73077,325.5104895,0,407.5154169345283,5404,500
7,4817.7439025,328.6890244,0,433.18553883867503,4858,760
8,5075.778625,356.53816795,7,358.20464578510575,5404,500
9,4893.5714285,364.0,0,397.50620582392247,4859,760
10,5080.96239,364.1216814,0,350.45144448279194,5404,500
11,4891.1309525,372.2261905,0,389.1027183697122,4859,760
12,5082.798805,378.6553785,0,343.35801262881,5404,500
13,5087.385025,385.6791444,0,336.6218953356524,5404,500
14,5215.914415,386.7274775,0,219.5605876251591,5404,500
15,4724.0053765,404.2795699,7,377.21282985820574,4831,766
16,4705.57971,411.51086955,0,375.9777244356123,4828,767
17,4645.9341735,410.72689075,0,393.3057348390569,4651,804
18,5034.027425,427.9008439,0,331.5541493633624,5003,758
19,4954.351301,436.65799255,0,324.8554821276508,5002,758
20,4526.0924855,444.6965318,0,352.4780517143105,4515,797
21,4518.338983,448.7118644,0,348.30414038193436,4515,797
22,4738.1333335,447.83333335,0,331.4426730431591,4831,766
23,4581.3109755,451.85365855,0,351.4585928499708,4515,797
24,5009.33642,454.7993827,0,303.26682071983646,5003,758
25,5188.501895,455.92045455,0,219.9600863467495,5404,500
26,4758.761438,456.32026145,0,317.9936324963507,4831,766
27,4616.1666665,457.83333335,0,347.91482035448627,4651,804
28,4614.75,459.0,0,346.89921086678766,4651,804
29,4626.62,460.52,0,344.34415168549043,4651,804
30,4737.1266665,460.76,0,319.34880670264323,4831,766
31,4925.3267715,462.08267715,7,305.21135606612734,4859,760
32,5157.4378,465.73923445,0,248.93115217849336,5404,500
33,4581.857143,466.396978,0,337.29547243574876,4515,797
34,4536.197183,466.5680751,0,331.1111256968795,4515,797
35,4649.235437,469.27427185,0,334.7303792130745,4651,804
36,5238.37056,496.44416245,7,165.66760508740234,5404,500
37,5401.546295,503.8333335,7,3.748125791545242,5404,501
38,5152.42268,512.7448455,0,251.8513238682724,5404,501
39,4171.76,515.5466665,0,274.1322002269384,4127,786
40,4174.7566665,520.58,0,269.68217515288666,4127,786
41,4748.090196,522.117647,0,257.5900574636665,4831,766
42,5217.58854,523.0243055,7,187.70802447441883,5404,501
43,4976.1666665,522.8333335,0,236.58132249280467,5002,758
44,4977.0,522.5,0,236.82324632518657,5002,758
45,2374.530612,524.387755,0,258.23609502359386,2124,587
46,5142.10084,529.3781515,0,243.08716866026182,5183,769
47,2424.1041665,529.4375,0,305.57478979279296,2124,587
48,4640.0875,535.66875,0,268.5530531995726,4651,804
49,4472.0,536.25,0,263.9537127982859,4513,797
50,2469.0,538.1607145,0,335.9082953175621,2689,792
51,2350.445652,542.2826085,0,230.8187133060691,2124,587
52,4496.931818,542.818182,0,254.689189159199,4513,797
53,2578.6836735,543.265306,0,272.1004224394519,2689,792
54,4630.641414,542.9141415,0,261.8784021881175,4651,804
55,4899.0784315,543.382353,0,220.29408903399298,4859,760
56,2449.932927,544.0792685,0,328.7468054525889,2124,587
57,4457.4114585,547.0104165,7,256.0954466690119,4513,797
58,2670.4213835,548.399371,0,238.57659141091295,2878,666
59,5120.655795,548.4311595,0,228.86919610903624,5178,770
60,2798.4326925,548.8798075,0,141.08821486586544,2880,664
61,2166.2105265,549.8421055,0,54.67671301459456,2115,569
62,2544.1346155,549.846154,0,282.17807278193067,2689,792
63,2842.293956,550.3324175,2,119.75836115079497,2880,664
64,3870.097826,550.521739,7,45.07360213595545,3836,580
65,5150.7043,550.5994625,0,220.7754674296465,5183,769
66,4139.464844,555.2070315,0,231.12932882909158,4127,786
67,4439.0889425,553.908654,0,254.0792138701238,4513,797
68,2582.31875,555.39375,0,259.54461396959294,2689,792
69,2869.642132,554.0126905,0,110.4739502351311,2880,664
70,2445.488024,555.3652695,0,323.04071840749793,2124,587
71,2836.141414,555.742424,0,116.80444480975522,2880,664
72,2889.32,555.598182,0,107.50373439888092,2894,663
73,2144.4078945,557.506579,0,31.57408724264849,2115,569
74,2368.5326085,558.0326085,0,246.24237326286598,2124,587
75,3814.7238805,558.761194,5,0.3650620274913977,3815,559
76,2249.4710145,559.2753625,0,128.49759143332452,2124,587
77,2067.75,560.5,7,3.2882366094914763,2071,561
78,2836.472826,561.048913,7,111.77451047044597,2880,664
79,4485.818182,560.8863635,0,237.67309601854234,4513,797
80,2122.292746,563.6088085,0,9.069128404107492,2115,569
81,2136.0083335,562.825,0,21.89704777926054,2115,569
82,2173.325,562.675,0,54.99692036832594,2124,587
83,2635.662069,562.5034485,0,235.58079798394633,2693,791
84,3758.8003955,562.458498,0,36.4266690814907,3793,575
85,3805.0210525,562.863158,5,0.13845194372149425,3805,563
86,2304.0,564.5,0,181.40079933671737,2124,587
87,3775.6889535,565.098837,0,19.942551483642465,3793,575
88,2075.3796295,565.722222,5,0.815918607800054,2075,565
89,2304.5,565.0,0,181.83577755766328,2124,587
90,2304.0,565.5,0,181.27948036112636,2124,587
91,2304.5,566.0,0,181.7175005331077,2124,587
92,2305.0,566.5,0,182.1572123194687,2124,587
